Protein_ID	Annotation
Dcor_evm.model.hic_scaffold_1_pilon.620	Voltage-dependent calcium channel gamma-5 subunit
Dcor_evm.model.hic_scaffold_1_pilon.621	Voltage-dependent calcium channel gamma-5 subunit
Dcor_evm.model.hic_scaffold_1_pilon.622	Voltage-dependent calcium channel gamma-5 subunit
Dcor_evm.model.hic_scaffold_1_pilon.623	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.624	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.625	Voltage-dependent calcium channel gamma-5 subunit
Dcor_evm.model.hic_scaffold_1_pilon.626	Voltage-dependent calcium channel gamma-5 subunit
Dcor_evm.model.hic_scaffold_1_pilon.627	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.628	Uridine 5'-monophosphate synthase
Dcor_evm.model.hic_scaffold_1_pilon.629	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.63	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.630	Protein lozenge
Dcor_evm.model.hic_scaffold_1_pilon.631	Protein lozenge
Dcor_evm.model.hic_scaffold_1_pilon.632	Segmentation protein Runt
Dcor_evm.model.hic_scaffold_1_pilon.633	Protein lozenge
Dcor_evm.model.hic_scaffold_1_pilon.634	Probable inactive peptidyl-prolyl cis-trans isomerase-like 6
Dcor_evm.model.hic_scaffold_1_pilon.635	PREDICTED: ovomucoid-like
Dcor_evm.model.hic_scaffold_1_pilon.636	Nucleoside diphosphate-linked moiety X motif 8
Dcor_evm.model.hic_scaffold_1_pilon.637	Chloride intracellular channel exc-4
Dcor_evm.model.hic_scaffold_1_pilon.638	PREDICTED: voltage-dependent T-type calcium channel subunit alpha-1H isoform X5
Dcor_evm.model.hic_scaffold_1_pilon.639	voltage-dependent T-type calcium channel subunit alpha-1G-like isoform X3
Dcor_evm.model.hic_scaffold_1_pilon.64	PREDICTED: putative gustatory receptor 28b
Dcor_evm.model.hic_scaffold_1_pilon.640	Sepiapterin reductase
Dcor_evm.model.hic_scaffold_1_pilon.641	Vitamin K epoxide reductase complex subunit 1
Dcor_evm.model.hic_scaffold_1_pilon.642	Autism susceptibility gene 2 protein homolog
Dcor_evm.model.hic_scaffold_1_pilon.643	Probable NADH dehydrogenase iron-sulfur protein 7, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.644	Ankyrin repeat and KH domain-containing protein mask
Dcor_evm.model.hic_scaffold_1_pilon.645	Phenylalanine--tRNA ligase beta subunit 
Dcor_evm.model.hic_scaffold_1_pilon.646	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.647	Abl interactor 1
Dcor_evm.model.hic_scaffold_1_pilon.648	Abl interactor 2
Dcor_evm.model.hic_scaffold_1_pilon.649	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.65	PREDICTED: uncharacterized protein LOC103313947
Dcor_evm.model.hic_scaffold_1_pilon.650	PREDICTED: nuclear pore complex protein Nup98-Nup96-like
Dcor_evm.model.hic_scaffold_1_pilon.651	Disintegrin and metalloproteinase domain-containing protein 10 
Dcor_evm.model.hic_scaffold_1_pilon.652	PREDICTED: uncharacterized protein LOC108569960
Dcor_evm.model.hic_scaffold_1_pilon.653	uncharacterized protein BDFB_006133
Dcor_evm.model.hic_scaffold_1_pilon.654	Transforming growth factor beta-1-induced transcript 1 protein
Dcor_evm.model.hic_scaffold_1_pilon.655	PREDICTED: uncharacterized protein LOC108563423 isoform X2
Dcor_evm.model.hic_scaffold_1_pilon.656	Esterase E4
Dcor_evm.model.hic_scaffold_1_pilon.657	5-azacytidine-induced protein 1-like, partial
Dcor_evm.model.hic_scaffold_1_pilon.658	PREDICTED: uncharacterized protein LOC103313893 isoform X2
Dcor_evm.model.hic_scaffold_1_pilon.659	PREDICTED: uncharacterized protein LOC108561481
Dcor_evm.model.hic_scaffold_1_pilon.66	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.660	Integrator complex subunit 13
Dcor_evm.model.hic_scaffold_1_pilon.661	PREDICTED: eisosome protein SEG2-like
Dcor_evm.model.hic_scaffold_1_pilon.662	26S proteasome regulatory subunit 7
Dcor_evm.model.hic_scaffold_1_pilon.663	Regulatory-associated protein of mTOR
Dcor_evm.model.hic_scaffold_1_pilon.664	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform
Dcor_evm.model.hic_scaffold_1_pilon.665	Homogentisate 1,2-dioxygenase
Dcor_evm.model.hic_scaffold_1_pilon.666	Probable histone-binding protein Caf1
Dcor_evm.model.hic_scaffold_1_pilon.667	Ovarian-specific serine/threonine-protein kinase Lok
Dcor_evm.model.hic_scaffold_1_pilon.668	Gamma-tubulin complex component 6
Dcor_evm.model.hic_scaffold_1_pilon.669	Glutaminyl-peptide cyclotransferase
Dcor_evm.model.hic_scaffold_1_pilon.67	Developmentally-regulated GTP-binding protein 2
Dcor_evm.model.hic_scaffold_1_pilon.670	Inositol polyphosphate 5-phosphatase E
Dcor_evm.model.hic_scaffold_1_pilon.671	Extracellular serine/threonine protein CG31145
Dcor_evm.model.hic_scaffold_1_pilon.672	Extracellular serine/threonine protein CG31145
Dcor_evm.model.hic_scaffold_1_pilon.673	Extracellular serine/threonine protein CG31145
Dcor_evm.model.hic_scaffold_1_pilon.674	Extracellular serine/threonine protein CG31145
Dcor_evm.model.hic_scaffold_1_pilon.675	PREDICTED: intraflagellar transport protein 140 homolog
Dcor_evm.model.hic_scaffold_1_pilon.676	Intraflagellar transport protein 140 homolog
Dcor_evm.model.hic_scaffold_1_pilon.677	F-actin-capping protein subunit beta
Dcor_evm.model.hic_scaffold_1_pilon.678	Protein smoothened
Dcor_evm.model.hic_scaffold_1_pilon.679	Protein BUD31 homolog
Dcor_evm.model.hic_scaffold_1_pilon.68	Protein brunelleschi
Dcor_evm.model.hic_scaffold_1_pilon.680	Innexin inx2
Dcor_evm.model.hic_scaffold_1_pilon.681	28S ribosomal protein S23, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.682	Pumilio homolog 3
Dcor_evm.model.hic_scaffold_1_pilon.683	Tyrosine-protein phosphatase non-receptor type 4
Dcor_evm.model.hic_scaffold_1_pilon.684	Methyltransferase-like protein
Dcor_evm.model.hic_scaffold_1_pilon.685	Protein alan shepard
Dcor_evm.model.hic_scaffold_1_pilon.686	Beta-glucuronidase
Dcor_evm.model.hic_scaffold_1_pilon.687	Beta-glucuronidase
Dcor_evm.model.hic_scaffold_1_pilon.688	Matrix metalloproteinase-2
Dcor_evm.model.hic_scaffold_1_pilon.689	CLUMA_CG014979, isoform A
Dcor_evm.model.hic_scaffold_1_pilon.69	ATP-dependent DNA helicase PIF1
Dcor_evm.model.hic_scaffold_1_pilon.690	General transcription factor 3C polypeptide 3
Dcor_evm.model.hic_scaffold_1_pilon.691	General transcription factor 3C polypeptide 3
Dcor_evm.model.hic_scaffold_1_pilon.692	Cytochrome P450 9e2
Dcor_evm.model.hic_scaffold_1_pilon.693	Neuropeptide CCHamide-2 receptor
Dcor_evm.model.hic_scaffold_1_pilon.694	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.695	uncharacterized protein LOC108735812
Dcor_evm.model.hic_scaffold_1_pilon.696	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.697	Protein 5NUC
Dcor_evm.model.hic_scaffold_1_pilon.698	SET and MYND domain-containing protein 4
Dcor_evm.model.hic_scaffold_1_pilon.699	Protein OSCP1
Dcor_evm.model.hic_scaffold_1_pilon.7	28 kDa heat- and acid-stable phosphoprotein
Dcor_evm.model.hic_scaffold_1_pilon.70	uncharacterized protein LOC108737474
Dcor_evm.model.hic_scaffold_1_pilon.700	Enoyl-[acyl-carrier-protein] reductase, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.701	Rho GTPase-activating protein 20
Dcor_evm.model.hic_scaffold_1_pilon.702	uncharacterized protein LOC111426250
Dcor_evm.model.hic_scaffold_1_pilon.703	Protein transport protein sft2
Dcor_evm.model.hic_scaffold_1_pilon.704	EF-hand domain-containing protein D2 homolog
Dcor_evm.model.hic_scaffold_1_pilon.705	Pickpocket protein 28
Dcor_evm.model.hic_scaffold_1_pilon.706	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.707	Facilitated trehalose transporter Tret1
Dcor_evm.model.hic_scaffold_1_pilon.708	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.709	Sulfotransferase 1C4
Dcor_evm.model.hic_scaffold_1_pilon.71	Ubiquitin carboxyl-terminal hydrolase 16
Dcor_evm.model.hic_scaffold_1_pilon.710	Protein deltex
Dcor_evm.model.hic_scaffold_1_pilon.711	Cytidine deaminase
Dcor_evm.model.hic_scaffold_1_pilon.712	V-type proton ATPase subunit H
Dcor_evm.model.hic_scaffold_1_pilon.713	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.714	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.715	Xaa-Pro dipeptidase
Dcor_evm.model.hic_scaffold_1_pilon.716	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.717	Smoothelin-like protein 1
Dcor_evm.model.hic_scaffold_1_pilon.718	uncharacterized protein LOC108743500
Dcor_evm.model.hic_scaffold_1_pilon.719	PREDICTED: uncharacterized protein LOC108558124
Dcor_evm.model.hic_scaffold_1_pilon.72	Ubiquitin carboxyl-terminal hydrolase 16
Dcor_evm.model.hic_scaffold_1_pilon.720	uncharacterized protein LOC108735977
Dcor_evm.model.hic_scaffold_1_pilon.721	U6 snRNA-associated Sm-like protein LSm7
Dcor_evm.model.hic_scaffold_1_pilon.722	Monocarboxylate transporter 9
Dcor_evm.model.hic_scaffold_1_pilon.723	Monocarboxylate transporter 9
Dcor_evm.model.hic_scaffold_1_pilon.724	PREDICTED: uncharacterized protein LOC108558153
Dcor_evm.model.hic_scaffold_1_pilon.725	Cytohesin-1
Dcor_evm.model.hic_scaffold_1_pilon.726	Phospholipase A2B
Dcor_evm.model.hic_scaffold_1_pilon.727	Platelet-activating factor acetylhydrolase IB subunit beta
Dcor_evm.model.hic_scaffold_1_pilon.728	Phospholipase A(2)
Dcor_evm.model.hic_scaffold_1_pilon.729	Short-chain specific acyl-CoA dehydrogenase, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.73	Transcription factor AP-1
Dcor_evm.model.hic_scaffold_1_pilon.730	ATP-dependent DNA/RNA helicase DHX36
Dcor_evm.model.hic_scaffold_1_pilon.731	Putative RNA-binding protein Luc7-like 2
Dcor_evm.model.hic_scaffold_1_pilon.732	Peptidyl-tRNA hydrolase ICT1, mitochondrial 
Dcor_evm.model.hic_scaffold_1_pilon.733	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.734	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.735	Protein Gawky
Dcor_evm.model.hic_scaffold_1_pilon.736	Serine-threonine kinase receptor-associated protein
Dcor_evm.model.hic_scaffold_1_pilon.737	Glucose-induced degradation protein 4 homolog
Dcor_evm.model.hic_scaffold_1_pilon.738	Ras-related protein Rab-40C
Dcor_evm.model.hic_scaffold_1_pilon.739	Serine/arginine-rich splicing factor 2
Dcor_evm.model.hic_scaffold_1_pilon.74	zinc-finger associated domain containing protein
Dcor_evm.model.hic_scaffold_1_pilon.740	ATP-dependent RNA helicase DDX42
Dcor_evm.model.hic_scaffold_1_pilon.741	Endothelin-converting enzyme homolog
Dcor_evm.model.hic_scaffold_1_pilon.742	Partner of Y14 and mago
Dcor_evm.model.hic_scaffold_1_pilon.743	Peroxidasin homolog
Dcor_evm.model.hic_scaffold_1_pilon.744	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.745	PREDICTED: uncharacterized protein LOC108567453
Dcor_evm.model.hic_scaffold_1_pilon.746	UbiA prenyltransferase domain-containing protein 1 homolog
Dcor_evm.model.hic_scaffold_1_pilon.747	Transmembrane protein 186
Dcor_evm.model.hic_scaffold_1_pilon.748	Sarcoplasmic calcium-binding protein 1
Dcor_evm.model.hic_scaffold_1_pilon.749	nuclear transcription factor Y subunit beta-like isoform X3
Dcor_evm.model.hic_scaffold_1_pilon.75	PREDICTED: chondroadherin-like protein
Dcor_evm.model.hic_scaffold_1_pilon.750	Probable cytochrome P450 6a23
Dcor_evm.model.hic_scaffold_1_pilon.751	Ring canal kelch homolog
Dcor_evm.model.hic_scaffold_1_pilon.752	60S ribosomal protein L11
Dcor_evm.model.hic_scaffold_1_pilon.753	28S ribosomal protein S21, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.754	DCN1-like protein 3
Dcor_evm.model.hic_scaffold_1_pilon.755	Histidine triad nucleotide-binding protein 1
Dcor_evm.model.hic_scaffold_1_pilon.756	Transducin beta-like protein 3
Dcor_evm.model.hic_scaffold_1_pilon.757	Serine protease persephone
Dcor_evm.model.hic_scaffold_1_pilon.758	PREDICTED: uncharacterized protein LOC108568403
Dcor_evm.model.hic_scaffold_1_pilon.759	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.76	PREDICTED: uncharacterized protein LOC108557777 isoform X4
Dcor_evm.model.hic_scaffold_1_pilon.760	Isatin hydrolase
Dcor_evm.model.hic_scaffold_1_pilon.761	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.762	PREDICTED: uncharacterized protein LOC108568466
Dcor_evm.model.hic_scaffold_1_pilon.763	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.764	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.765	PREDICTED: uncharacterized protein LOC107399116
Dcor_evm.model.hic_scaffold_1_pilon.766	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.767	Protein spaetzle 3
Dcor_evm.model.hic_scaffold_1_pilon.768	uncharacterized protein LOC111505405 isoform X1
Dcor_evm.model.hic_scaffold_1_pilon.769	Sphingomyelin phosphodiesterase
Dcor_evm.model.hic_scaffold_1_pilon.77	GATA-binding factor A
Dcor_evm.model.hic_scaffold_1_pilon.770	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.771	Nuclear protein localization protein 4 homolog
Dcor_evm.model.hic_scaffold_1_pilon.772	PREDICTED: uncharacterized protein LOC108567040
Dcor_evm.model.hic_scaffold_1_pilon.773	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.774	Protein KIAA0556
Dcor_evm.model.hic_scaffold_1_pilon.775	Monocyte to macrophage differentiation factor 2
Dcor_evm.model.hic_scaffold_1_pilon.776	Glutaredoxin-C4
Dcor_evm.model.hic_scaffold_1_pilon.777	Splicing factor U2AF 50 kDa subunit
Dcor_evm.model.hic_scaffold_1_pilon.778	Protein transport protein Sec31A
Dcor_evm.model.hic_scaffold_1_pilon.779	Cilia- and flagella-associated protein 57
Dcor_evm.model.hic_scaffold_1_pilon.78	Macoilin
Dcor_evm.model.hic_scaffold_1_pilon.780	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.781	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.782	Monocarboxylate transporter 8
Dcor_evm.model.hic_scaffold_1_pilon.783	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.784	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.785	Cytochrome b5 reductase 4
Dcor_evm.model.hic_scaffold_1_pilon.786	uncharacterized protein LOC111422782
Dcor_evm.model.hic_scaffold_1_pilon.787	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.788	Fatty-acid amide hydrolase 2
Dcor_evm.model.hic_scaffold_1_pilon.789	Usher syndrome type-1G protein homolog
Dcor_evm.model.hic_scaffold_1_pilon.79	THO complex subunit 1
Dcor_evm.model.hic_scaffold_1_pilon.790	uncharacterized protein LOC108740141 isoform X1
Dcor_evm.model.hic_scaffold_1_pilon.791	RalBP1-associated Eps domain-containing protein 2
Dcor_evm.model.hic_scaffold_1_pilon.792	Death-associated protein kinase dapk-1
Dcor_evm.model.hic_scaffold_1_pilon.793	Kinase suppressor of Ras 2
Dcor_evm.model.hic_scaffold_1_pilon.794	Exportin-6
Dcor_evm.model.hic_scaffold_1_pilon.795	PREDICTED: uncharacterized protein LOC108564571, partial
Dcor_evm.model.hic_scaffold_1_pilon.796	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1
Dcor_evm.model.hic_scaffold_1_pilon.797	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10
Dcor_evm.model.hic_scaffold_1_pilon.798	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.799	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.8	tRNA (uracil-5-)-methyltransferase homolog A 
Dcor_evm.model.hic_scaffold_1_pilon.80	Myeloid leukemia factor
Dcor_evm.model.hic_scaffold_1_pilon.800	Inositol polyphosphate multikinase
Dcor_evm.model.hic_scaffold_1_pilon.801	Brefeldin A-inhibited guanine nucleotide-exchange protein 3
Dcor_evm.model.hic_scaffold_1_pilon.802	Transcription factor hamlet
Dcor_evm.model.hic_scaffold_1_pilon.803	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.804	Ketimine reductase mu-crystallin
Dcor_evm.model.hic_scaffold_1_pilon.805	Neprilysin
Dcor_evm.model.hic_scaffold_1_pilon.806	Neprilysin-1
Dcor_evm.model.hic_scaffold_1_pilon.807	PREDICTED: globin-like
Dcor_evm.model.hic_scaffold_1_pilon.808	hypothetical protein YQE_12746, partial
Dcor_evm.model.hic_scaffold_1_pilon.809	Pre-mRNA-processing factor 6
Dcor_evm.model.hic_scaffold_1_pilon.81	Facilitated trehalose transporter Tret1
Dcor_evm.model.hic_scaffold_1_pilon.810	Integrin beta-nu
Dcor_evm.model.hic_scaffold_1_pilon.811	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.812	hypothetical protein AQUCO_01700512v1
Dcor_evm.model.hic_scaffold_1_pilon.813	Protein spinster
Dcor_evm.model.hic_scaffold_1_pilon.814	UPF0454 protein C12orf49 homolog
Dcor_evm.model.hic_scaffold_1_pilon.815	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.816	Hydroxysteroid dehydrogenase-like protein 2
Dcor_evm.model.hic_scaffold_1_pilon.817	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.818	Phosphoribosyl pyrophosphate synthase-associated protein 2
Dcor_evm.model.hic_scaffold_1_pilon.819	Guanylate cyclase 32E
Dcor_evm.model.hic_scaffold_1_pilon.82	calcium activated chloride channel regulator 4-like isoform X1
Dcor_evm.model.hic_scaffold_1_pilon.820	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.821	E3 ubiquitin-protein ligase ZNF598
Dcor_evm.model.hic_scaffold_1_pilon.822	Prominin-like protein
Dcor_evm.model.hic_scaffold_1_pilon.823	Endonuclease III-like protein 1
Dcor_evm.model.hic_scaffold_1_pilon.824	TBC1 domain family member 16
Dcor_evm.model.hic_scaffold_1_pilon.825	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.826	Cyclin-dependent kinase-like 2
Dcor_evm.model.hic_scaffold_1_pilon.827	Glutamine-rich protein 2
Dcor_evm.model.hic_scaffold_1_pilon.828	Protein split ends
Dcor_evm.model.hic_scaffold_1_pilon.829	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.83	Calcium-activated chloride channel regulator 1
Dcor_evm.model.hic_scaffold_1_pilon.830	SH2 domain-containing protein 4B
Dcor_evm.model.hic_scaffold_1_pilon.831	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.832	Glyoxylate reductase/hydroxypyruvate reductase
Dcor_evm.model.hic_scaffold_1_pilon.833	Thioredoxin domain-containing protein 15
Dcor_evm.model.hic_scaffold_1_pilon.834	Substance-P receptor
Dcor_evm.model.hic_scaffold_1_pilon.835	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1
Dcor_evm.model.hic_scaffold_1_pilon.836	Transmembrane protein 94
Dcor_evm.model.hic_scaffold_1_pilon.837	DNA-directed RNA polymerase, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.838	PREDICTED: uncharacterized protein LOC103313947
Dcor_evm.model.hic_scaffold_1_pilon.839	Transposon Ty3-I Gag-Pol polyprotein
Dcor_evm.model.hic_scaffold_1_pilon.84	Calcium-activated chloride channel regulator 4
Dcor_evm.model.hic_scaffold_1_pilon.840	uncharacterized protein LOC112906452
Dcor_evm.model.hic_scaffold_1_pilon.841	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.842	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.843	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.844	Vesicle transport through interaction with t-SNAREs homolog 1A
Dcor_evm.model.hic_scaffold_1_pilon.845	Glutathione hydrolase 1 proenzyme
Dcor_evm.model.hic_scaffold_1_pilon.846	hypothetical protein EGW08_014134
Dcor_evm.model.hic_scaffold_1_pilon.847	Centrosomal protein of 162 kDa
Dcor_evm.model.hic_scaffold_1_pilon.848	Carboxypeptidase B
Dcor_evm.model.hic_scaffold_1_pilon.849	Centrosomal protein of 162 kDa
Dcor_evm.model.hic_scaffold_1_pilon.85	Putative uncharacterized transposon-derived protein F52C9.6
Dcor_evm.model.hic_scaffold_1_pilon.850	FAS-associated factor 2
Dcor_evm.model.hic_scaffold_1_pilon.851	Apolipoprotein D
Dcor_evm.model.hic_scaffold_1_pilon.852	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.853	Zinc finger MYM-type protein 3
Dcor_evm.model.hic_scaffold_1_pilon.854	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A
Dcor_evm.model.hic_scaffold_1_pilon.855	Ribonuclease Z, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.856	Tight junction protein ZO-1
Dcor_evm.model.hic_scaffold_1_pilon.857	Heat shock protein 68
Dcor_evm.model.hic_scaffold_1_pilon.858	PREDICTED: uncharacterized protein LOC108558522
Dcor_evm.model.hic_scaffold_1_pilon.859	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.86	PREDICTED: uncharacterized protein LOC108562801
Dcor_evm.model.hic_scaffold_1_pilon.860	Lipase 3
Dcor_evm.model.hic_scaffold_1_pilon.861	Lipase 1
Dcor_evm.model.hic_scaffold_1_pilon.862	Lipase 1
Dcor_evm.model.hic_scaffold_1_pilon.863	Lipase 1
Dcor_evm.model.hic_scaffold_1_pilon.864	Protein Dok-7
Dcor_evm.model.hic_scaffold_1_pilon.865	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.866	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.867	Retinol dehydrogenase 11
Dcor_evm.model.hic_scaffold_1_pilon.868	Retinol dehydrogenase 11
Dcor_evm.model.hic_scaffold_1_pilon.869	Protein Dok-7
Dcor_evm.model.hic_scaffold_1_pilon.87	Protein mitoshell
Dcor_evm.model.hic_scaffold_1_pilon.870	Transmembrane protease serine 3
Dcor_evm.model.hic_scaffold_1_pilon.871	Zinc finger CCHC domain-containing protein 24
Dcor_evm.model.hic_scaffold_1_pilon.872	PREDICTED: oocyte zinc finger protein XlCOF15-like isoform X1
Dcor_evm.model.hic_scaffold_1_pilon.873	Eukaryotic translation initiation factor 5A
Dcor_evm.model.hic_scaffold_1_pilon.874	ATPase family AAA domain-containing protein 1-A
Dcor_evm.model.hic_scaffold_1_pilon.875	Chitinase domain-containing protein 1
Dcor_evm.model.hic_scaffold_1_pilon.876	Facilitated trehalose transporter Tret1
Dcor_evm.model.hic_scaffold_1_pilon.877	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.878	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.879	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.88	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.880	Eukaryotic translation initiation factor 3 subunit B
Dcor_evm.model.hic_scaffold_1_pilon.881	ankyrin repeat and fibronectin type-III domain-containing protein 1 isoform X2
Dcor_evm.model.hic_scaffold_1_pilon.882	Synaptogyrin
Dcor_evm.model.hic_scaffold_1_pilon.883	Telomerase Cajal body protein 1 homolog
Dcor_evm.model.hic_scaffold_1_pilon.884	Synaptic vesicle membrane protein VAT-1 homolog
Dcor_evm.model.hic_scaffold_1_pilon.885	Protein bicaudal C
Dcor_evm.model.hic_scaffold_1_pilon.886	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.887	Stress-activated protein kinase JNK
Dcor_evm.model.hic_scaffold_1_pilon.888	H/ACA ribonucleoprotein complex non-core subunit NAF1
Dcor_evm.model.hic_scaffold_1_pilon.889	Calpain-11
Dcor_evm.model.hic_scaffold_1_pilon.89	Synaptotagmin-15
Dcor_evm.model.hic_scaffold_1_pilon.890	Toll-like receptor Tollo
Dcor_evm.model.hic_scaffold_1_pilon.891	Protein split ends
Dcor_evm.model.hic_scaffold_1_pilon.892	Protein split ends
Dcor_evm.model.hic_scaffold_1_pilon.893	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.894	PREDICTED: transcription and mRNA export factor SUS1-like
Dcor_evm.model.hic_scaffold_1_pilon.895	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.896	Graves disease carrier protein
Dcor_evm.model.hic_scaffold_1_pilon.897	Sialin
Dcor_evm.model.hic_scaffold_1_pilon.898	Ig-like and fibronectin type-III domain-containing protein 2
Dcor_evm.model.hic_scaffold_1_pilon.899	PREDICTED: uncharacterized protein LOC107072109
Dcor_evm.model.hic_scaffold_1_pilon.9	hypothetical protein TcasGA2_TC006373
Dcor_evm.model.hic_scaffold_1_pilon.90	PREDICTED: uncharacterized protein LOC108561010
Dcor_evm.model.hic_scaffold_1_pilon.900	LINE-1 reverse transcriptase homolog
Dcor_evm.model.hic_scaffold_1_pilon.901	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.902	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.903	DNA mismatch repair protein Msh2 
Dcor_evm.model.hic_scaffold_1_pilon.904	PREDICTED: LOW QUALITY PROTEIN: DNA mismatch repair protein Msh2-like
Dcor_evm.model.hic_scaffold_1_pilon.905	PREDICTED: interaptin-like
Dcor_evm.model.hic_scaffold_1_pilon.906	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.907	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.908	PREDICTED: von Willebrand factor D and EGF domain-containing protein-like
Dcor_evm.model.hic_scaffold_1_pilon.909	PREDICTED: PHD finger protein 14 isoform X2
Dcor_evm.model.hic_scaffold_1_pilon.91	Reversion-inducing cysteine-rich protein with Kazal motifs
Dcor_evm.model.hic_scaffold_1_pilon.910	PHD finger protein 14
Dcor_evm.model.hic_scaffold_1_pilon.911	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.912	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.913	PREDICTED: transmembrane and TPR repeat-containing protein 1-like
Dcor_evm.model.hic_scaffold_1_pilon.914	transmembrane and TPR repeat-containing protein 1-like, partial
Dcor_evm.model.hic_scaffold_1_pilon.915	Protein O-mannosyl-transferase TMTC1
Dcor_evm.model.hic_scaffold_1_pilon.916	Transmembrane and TPR repeat-containing protein CG4050-like Protein
Dcor_evm.model.hic_scaffold_1_pilon.917	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.918	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.919	N-acylneuraminate cytidylyltransferase
Dcor_evm.model.hic_scaffold_1_pilon.92	PREDICTED: RB1-inducible coiled-coil protein 1-like isoform X1
Dcor_evm.model.hic_scaffold_1_pilon.920	Aldehyde dehydrogenase family 3 member B2
