,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Protein_ID,Annotation,Dcor_Gene,padj
7609,413.7599833,-1.250034482,0.533358052,-2.34370603,0.019093214,0.143580247,Hol_evm.model.scaffold11546.6,Protein fem-1 homolog C,Dcor_evm.model.hic_scaffold_3_pilon.1407,0.143580247
1145,80.24634062,2.568964909,1.096583077,2.342699758,0.019144782,0.143687974,Hol_evm.model.scaffold01509.5,PREDICTED: radial spoke head 14 homolog,Dcor_evm.model.hic_scaffold_5_pilon.59,0.143687974
7669,760.5683486,1.303360969,0.556329867,2.342784465,0.019140437,0.143687974,Hol_evm.model.scaffold11594.17,Metallo-beta-lactamase domain-containing protein 1,Dcor_evm.model.hic_scaffold_5_pilon.763,0.143687974
6067,4357.561346,-1.370139293,0.584944252,-2.342341666,0.019163163,0.143730106,Hol_evm.model.scaffold08767.2,Histone H3.3A,Dcor_evm.model.hic_scaffold_1_pilon.222,0.143730106
871,5169.192215,-1.437129879,0.614193358,-2.339865551,0.019290683,0.143921957,Hol_evm.model.scaffold01096.3,-,NA,0.143921957
2648,513.3602991,1.423485068,0.608019742,2.341182318,0.019222777,0.143921957,Hol_evm.model.scaffold03560.7,E3 ubiquitin-protein ligase RNF181,Dcor_evm.model.hic_scaffold_10_pilon.423,0.143921957
3425,190.4879433,-1.617260203,0.690994586,-2.340481728,0.019258881,0.143921957,Hol_evm.model.scaffold04618.6,Ephrin-B2a,Dcor_evm.model.hic_scaffold_8_pilon.569,0.143921957
3650,2274.770836,1.43992534,0.615454836,2.339611708,0.019303798,0.143921957,Hol_evm.model.scaffold04944.6,"Glucose dehydrogenase [FAD, quinone]",Dcor_evm.model.hic_scaffold_9_pilon.1373,0.143921957
5764,241.1194078,-1.856260233,0.793102906,-2.340503634,0.019257751,0.143921957,Hol_evm.model.scaffold08281.11,Kinesin-like protein KIF13A,Dcor_evm.model.hic_scaffold_8_pilon.50,0.143921957
6785,25.22401771,-2.580709427,1.102839735,-2.340058437,0.019280723,0.143921957,Hol_evm.model.scaffold10039.1,Phospholipase A2B,Dcor_evm.model.hic_scaffold_1_pilon.726,0.143921957
7790,1408.400529,-1.466334063,0.626606664,-2.340118847,0.019277604,0.143921957,Hol_evm.model.scaffold11715.24,Mitochondrial carrier protein Rim2,Dcor_evm.model.hic_scaffold_1_pilon.160,0.143921957
8793,19.99432203,2.500411758,1.068713422,2.339646631,0.019301993,0.143921957,Hol_evm.model.scaffold13721.1,-,NA,0.143921957
10527,48.046094,2.022433315,0.864296114,2.339977333,0.01928491,0.143921957,Hol_evm.model.scaffold17163.1,-,NA,0.143921957
2950,962.1965481,1.256214171,0.537077502,2.338981183,0.019336407,0.143974388,Hol_evm.model.scaffold03983.1,Ubiquitin-like protein 5,Dcor_evm.model.hic_scaffold_10_pilon.1386,0.143974388
9212,474.0486813,-1.885413851,0.80600213,-2.339216958,0.019324208,0.143974388,Hol_evm.model.scaffold14568.1,Pantothenate kinase 1,Dcor_evm.model.hic_scaffold_10_pilon.758,0.143974388
4045,57.99084337,-2.464840369,1.054242572,-2.338020143,0.019386203,0.144186493,Hol_evm.model.scaffold05473.12,NA,NA,0.144186493
11381,109.5814468,-1.599540643,0.684167513,-2.337937145,0.019390509,0.144186493,Hol_evm.model.scaffold18823.5,PREDICTED: uncharacterized protein LOC108562510,Dcor_evm.model.hic_scaffold_5_pilon.279,0.144186493
7902,104.9745792,-1.524474178,0.652180073,-2.337504996,0.019412941,0.144258017,Hol_evm.model.scaffold11919.2,NA,NA,0.144258017
5446,87.90444546,2.039702332,0.873007959,2.336407488,0.019470014,0.144586687,Hol_evm.model.scaffold07862.18,"PREDICTED: dynein light chain 1, axonemal",Dcor_evm.model.hic_scaffold_9_pilon.1891,0.144586687
2294,126.1751447,-1.626384119,0.696396272,-2.335429101,0.019521016,0.144869871,Hol_evm.model.scaffold03111.2,Palmitoyltransferase Hip14,Dcor_evm.model.hic_scaffold_5_pilon.1069,0.144869871
5013,650.896402,1.317226924,0.564080025,2.335177395,0.019534156,0.144871886,Hol_evm.model.scaffold07195.1,protein FAM107B isoform X1,Dcor_evm.model.hic_scaffold_3_pilon.509,0.144871886
10571,72.72683695,1.869960951,0.800964168,2.334637459,0.019562368,0.144985608,Hol_evm.model.scaffold17258.1,alaS,NA,0.144985608
1927,201.0333274,1.722156642,0.737792332,2.334202414,0.019585126,0.145058779,Hol_evm.model.scaffold02594.1,-,NA,0.145058779
912,3073.391504,-1.257693839,0.53897319,-2.333499816,0.019621928,0.14520579,Hol_evm.model.scaffold01166.15,Ras-related protein Rab-38,Dcor_evm.model.hic_scaffold_8_pilon.880,0.14520579
6887,90.66710149,-1.547910922,0.663391008,-2.333331176,0.01963077,0.14520579,Hol_evm.model.scaffold10258.4,PREDICTED: uncharacterized protein LOC108563863 isoform X2,Dcor_evm.model.hic_scaffold_7_pilon.982,0.14520579
318,47.51852311,-1.909152536,0.818672353,-2.332010515,0.019700138,0.145214564,Hol_evm.model.scaffold00343.1,-,NA,0.145214564
4725,80.23023485,1.898400467,0.813888639,2.33250641,0.019674066,0.145214564,Hol_evm.model.scaffold06564.1,-,NA,0.145214564
5094,66.17524412,2.060718919,0.883498125,2.332454209,0.019676809,0.145214564,Hol_evm.model.scaffold07337.1,TTF2,NA,0.145214564
5505,129.7414091,-1.730671019,0.742006519,-2.332420234,0.019678595,0.145214564,Hol_evm.model.scaffold07938.14,Cleavage stimulation factor subunit 1,Dcor_evm.model.hic_scaffold_7_pilon.949,0.145214564
6406,54.8320048,-2.123915033,0.910747496,-2.332056957,0.019697695,0.145214564,Hol_evm.model.scaffold09334.4,"PREDICTED: uncharacterized protein LOC108566606, partial",Dcor_evm.model.hic_scaffold_9_pilon.792,0.145214564
7100,160.5177913,3.069867356,1.316502566,2.331835451,0.019709349,0.145214564,Hol_evm.model.scaffold10779.5,NA,NA,0.145214564
1775,33.44939617,2.080932534,0.893005175,2.330258091,0.019792514,0.145679736,Hol_evm.model.scaffold02297.5,Protein mitoshell,Dcor_evm.model.hic_scaffold_1_pilon.87,0.145679736
4587,762.1360112,-1.374866148,0.590077834,-2.32997423,0.019807513,0.145679736,Hol_evm.model.scaffold06348.1,-,NA,0.145679736
11407,282.1559675,-1.707992954,0.733074865,-2.32990249,0.019811305,0.145679736,Hol_evm.model.scaffold18908.4,Nuclear hormone receptor HR96,Dcor_evm.model.hic_scaffold_3_pilon.1493,0.145679736
7808,52.12226714,2.556054684,1.097348728,2.329300265,0.019843164,0.145818763,Hol_evm.model.scaffold11739.6,NME5,NA,0.145818763
9919,847.0545845,1.611089917,0.691799802,2.328838361,0.01986763,0.145903315,Hol_evm.model.scaffold15809.1,Probable small nuclear ribonucleoprotein G,Dcor_evm.model.hic_scaffold_3_pilon.38,0.145903315
929,32.28257962,2.246482696,0.964774832,2.328504664,0.019885322,0.14593804,Hol_evm.model.scaffold01196.3,NA,NA,0.14593804
2450,57.33151318,2.926364031,1.257489599,2.327147702,0.019957405,0.145955792,Hol_evm.model.scaffold03333.7,Cationic amino acid transporter 2,Dcor_evm.model.hic_scaffold_3_pilon.990,0.145955792
3147,465.6879122,-1.462467809,0.628697996,-2.326184938,0.020008687,0.145955792,Hol_evm.model.scaffold04229.2,Transmembrane and coiled-coil domains protein 2 ,Dcor_evm.model.hic_scaffold_6_pilon.979,0.145955792
3184,1467.719062,1.428273068,0.614169403,2.325536019,0.020043316,0.145955792,Hol_evm.model.scaffold04266.1,L-lactate dehydrogenase,Dcor_evm.model.hic_scaffold_2_pilon.752,0.145955792
3247,85.50668074,2.648221029,1.138647022,2.325761169,0.020031295,0.145955792,Hol_evm.model.scaffold04373.2,NA,NA,0.145955792
3743,187.5271023,-1.874966488,0.805784437,-2.326883472,0.019971468,0.145955792,Hol_evm.model.scaffold05080.6,Homeobox protein Mohawk,Dcor_evm.model.hic_scaffold_7_pilon.73,0.145955792
3838,642.714574,-1.351376396,0.580534177,-2.327815397,0.019921908,0.145955792,Hol_evm.model.scaffold05210.1,BTBD6,NA,0.145955792
4498,36.85821057,2.315375556,0.995274755,2.326368215,0.019998916,0.145955792,Hol_evm.model.scaffold06194.1,-,NA,0.145955792
5475,1087.178433,-1.558786512,0.670032784,-2.326433196,0.019995452,0.145955792,Hol_evm.model.scaffold07932.4,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase",Dcor_evm.model.hic_scaffold_1_pilon.382,0.145955792
5769,318.6499944,-1.831182526,0.787034029,-2.326687866,0.019981884,0.145955792,Hol_evm.model.scaffold08281.16,Solute carrier family 25 member 46,Dcor_evm.model.hic_scaffold_8_pilon.714,0.145955792
7823,161.4408053,-1.551862926,0.667226073,-2.325842754,0.020026941,0.145955792,Hol_evm.model.scaffold11772.2,LBR,NA,0.145955792
7828,41.54323389,-2.933292101,1.260238747,-2.327568572,0.019935024,0.145955792,Hol_evm.model.scaffold11783.2,Paired box protein Pax-1,Dcor_evm.model.hic_scaffold_9_pilon.936,0.145955792
9387,671.6118234,1.719815518,0.73918705,2.326631018,0.019984912,0.145955792,Hol_evm.model.scaffold14907.1,RNA polymerase II transcriptional coactivator-like,Dcor_evm.model.hic_scaffold_1_pilon.1120,0.145955792
8240,81.6815187,1.625740058,0.699268764,2.324914456,0.020076535,0.146103186,Hol_evm.model.scaffold12411.19,NA,NA,0.146103186
10924,381.2712211,-1.88358782,0.810771516,-2.323204235,0.020168183,0.146675329,Hol_evm.model.scaffold17917.2,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,Dcor_evm.model.hic_scaffold_2_pilon.224,0.146675329
8893,1072.326446,1.575724697,0.67846125,2.322497707,0.020206152,0.146761843,Hol_evm.model.scaffold13923.1,uncharacterized protein LOC111350034,Dcor_evm.model.hic_scaffold_9_pilon.788,0.146761843
11466,130.5081056,-1.824227586,0.78540249,-2.322665904,0.020197107,0.146761843,Hol_evm.model.scaffold18946.2,Mitochondrial ornithine transporter 1,Dcor_evm.model.hic_scaffold_5_pilon.1214,0.146761843
7729,822.5077754,1.478744119,0.636779305,2.322223898,0.020220883,0.146774145,Hol_evm.model.scaffold11664.2,NA,NA,0.146774145
8048,523.6216125,-1.534158584,0.660773499,-2.321761673,0.020245772,0.146860117,Hol_evm.model.scaffold12167.3,Cytochrome P450 9e2,Dcor_evm.model.hic_scaffold_4_pilon.125,0.146860117
3048,25.63385181,2.617779537,1.127739732,2.321262135,0.0202727,0.14690106,Hol_evm.model.scaffold04113.1,TRPA1,NA,0.14690106
4030,220.4419494,1.922745098,0.828350654,2.321172911,0.020277514,0.14690106,Hol_evm.model.scaffold05461.2,Origin recognition complex subunit 2,Dcor_evm.model.hic_scaffold_10_pilon.435,0.14690106
8914,824.4437752,-1.656991296,0.714081467,-2.320451337,0.020316475,0.147088662,Hol_evm.model.scaffold13952.3,3'-5' ssDNA/RNA exonuclease TatD,Dcor_evm.model.hic_scaffold_9_pilon.1516,0.147088662
11465,732.7313623,-1.53044064,0.660063257,-2.318627228,0.020415257,0.147708849,Hol_evm.model.scaffold18946.1,NA,NA,0.147708849
6238,17.65322361,2.563239169,1.106374242,2.31679216,0.020515056,0.148282719,Hol_evm.model.scaffold09015.3,-,NA,0.148282719
7777,92.04324703,2.003726096,0.864941581,2.316602809,0.020525378,0.148282719,Hol_evm.model.scaffold11715.11,Glutathione hydrolase 1 proenzyme,Dcor_evm.model.hic_scaffold_1_pilon.845,0.148282719
9892,79.41615118,-1.549501583,0.668914156,-2.316443102,0.020534088,0.148282719,Hol_evm.model.scaffold15781.19,NA,NA,0.148282719
4014,96.86458859,2.829283613,1.221936183,2.315410292,0.020590489,0.148499502,Hol_evm.model.scaffold05450.1,Protein disulfide-isomerase A3,Dcor_evm.model.hic_scaffold_10_pilon.171,0.148499502
7016,119.3601822,2.982682184,1.288109832,2.315549583,0.020582874,0.148499502,Hol_evm.model.scaffold10590.9,ARHGAP1,NA,0.148499502
2221,191.9898336,-1.947646624,0.841917142,-2.313347152,0.02070356,0.148937512,Hol_evm.model.scaffold02993.4,NAD-dependent protein deacylase Sirt4,Dcor_evm.model.hic_scaffold_3_pilon.1288,0.148937512
2853,22807.75406,-1.576520386,0.681356978,-2.313795024,0.020678968,0.148937512,Hol_evm.model.scaffold03862.3,NA,NA,0.148937512
4123,125.8832958,2.780641556,1.202094014,2.313164796,0.02071358,0.148937512,Hol_evm.model.scaffold05602.3,GAPDH,NA,0.148937512
4427,1753.731449,-1.301784903,0.562906073,-2.312614779,0.020743828,0.148937512,Hol_evm.model.scaffold05992.30,PREDICTED: uncharacterized protein LOC108566997,Dcor_evm.model.hic_scaffold_1_pilon.474,0.148937512
7180,38.09271781,-2.080200958,0.899433549,-2.312790043,0.020734185,0.148937512,Hol_evm.model.scaffold10928.3,HNRNPC,NA,0.148937512
9158,54.14691023,-2.220465364,0.959574884,-2.314009464,0.020667203,0.148937512,Hol_evm.model.scaffold14414.1,TXNDC11,NA,0.148937512
11456,997.6722827,-1.439352435,0.62238835,-2.312627533,0.020743126,0.148937512,Hol_evm.model.scaffold18942.20,Rab11 family-interacting protein 1,Dcor_evm.model.hic_scaffold_8_pilon.28,0.148937512
1740,31.10472445,2.084096607,0.901494239,2.311824653,0.020787348,0.149154855,Hol_evm.model.scaffold02231.1,-,NA,0.149154855
11196,36.40993592,-1.912155957,0.827299613,-2.311322194,0.020815065,0.1492586,Hol_evm.model.scaffold18420.3,-,NA,0.1492586
1015,54.58131239,-2.179937918,0.944003478,-2.30924776,0.020929837,0.149986061,Hol_evm.model.scaffold01353.1,-,NA,0.149986061
3757,214.3011169,-1.905380083,0.825282224,-2.308761812,0.020956802,0.149988353,Hol_evm.model.scaffold05090.3,Receptor-type tyrosine-protein phosphatase kappa,Dcor_evm.model.hic_scaffold_9_pilon.193,0.149988353
9855,2202.247592,-1.712108874,0.741550342,-2.308823524,0.020953376,0.149988353,Hol_evm.model.scaffold15702.2,uncharacterized protein LUCCR_16760,Dcor_evm.model.hic_scaffold_10_pilon.319,0.149988353
7469,182.0926407,-1.921768929,0.832565169,-2.308250454,0.02098521,0.150096251,Hol_evm.model.scaffold11351.2,BTB/POZ domain-containing protein 10,Dcor_evm.model.hic_scaffold_6_pilon.12,0.150096251
5188,54.56722091,2.188382633,0.948236187,2.307845516,0.02100773,0.150161922,Hol_evm.model.scaffold07509.5,Structural maintenance of chromosomes protein 3,Dcor_evm.model.hic_scaffold_5_pilon.1084,0.150161922
2029,40.92163593,2.839340618,1.230458091,2.307547604,0.021024312,0.150185089,Hol_evm.model.scaffold02723.2,PREDICTED: uncharacterized protein LOC108568325,Dcor_evm.model.hic_scaffold_3_pilon.290,0.150185089
10471,29.32713801,2.888013022,1.251844518,2.307006166,0.021054476,0.150305196,Hol_evm.model.scaffold17014.1,-,NA,0.150305196
2906,77.85908175,2.203970216,0.955957326,2.305511089,0.021137966,0.150341327,Hol_evm.model.scaffold03917.7,Serine/threonine-protein kinase/endoribonuclease ire-1,Dcor_evm.model.hic_scaffold_3_pilon.74,0.150341327
4261,180.8745372,2.018505356,0.875615334,2.305242129,0.021153017,0.150341327,Hol_evm.model.scaffold05742.1,NA,NA,0.150341327
4440,37.92020206,2.100432046,0.910962148,2.305729223,0.021125767,0.150341327,Hol_evm.model.scaffold06043.1,map,NA,0.150341327
4686,257.249863,-1.739704477,0.754349278,-2.306232044,0.02109767,0.150341327,Hol_evm.model.scaffold06506.2,Ras GTPase-activating protein 1,Dcor_evm.model.hic_scaffold_10_pilon.862,0.150341327
6609,48.89578301,2.185018993,0.947411693,2.306303595,0.021093674,0.150341327,Hol_evm.model.scaffold09756.1,-,NA,0.150341327
6856,574.1900619,-1.711276695,0.742194363,-2.305698858,0.021127465,0.150341327,Hol_evm.model.scaffold10192.4,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",Dcor_evm.model.hic_scaffold_1_pilon.233,0.150341327
8402,426.3897386,1.934978277,0.839307721,2.305445582,0.021141631,0.150341327,Hol_evm.model.scaffold12750.2,Venom acid phosphatase Acph-1,Dcor_evm.model.hic_scaffold_9_pilon.1470,0.150341327
452,21.71294283,2.460374112,1.06774464,2.304272033,0.021207378,0.150521787,Hol_evm.model.scaffold00531.4,PREDICTED: transient receptor potential cation channel subfamily V member 5,Dcor_evm.model.hic_scaffold_7_pilon.1159,0.150521787
4533,356.8194304,1.264033772,0.548539638,2.30436177,0.021202344,0.150521787,Hol_evm.model.scaffold06240.6,"Probable splicing factor, arginine/serine-rich 7",Dcor_evm.model.hic_scaffold_9_pilon.1126,0.150521787
9467,145.2773638,1.668460361,0.724135042,2.304073501,0.021218518,0.150521787,Hol_evm.model.scaffold15096.1,-,NA,0.150521787
1822,32.00847396,-2.026977098,0.88028365,-2.302640858,0.021299058,0.150997984,Hol_evm.model.scaffold02393.3,F-box/WD repeat-containing protein 1A,Dcor_evm.model.hic_scaffold_10_pilon.485,0.150997984
3315,4312.875978,-1.185789268,0.515118221,-2.301975003,0.021336582,0.15116881,Hol_evm.model.scaffold04430.6,Microsomal triglyceride transfer protein large subunit,Dcor_evm.model.hic_scaffold_1_pilon.183,0.15116881
8861,81.77726409,1.615375668,0.701839081,2.301632544,0.021355903,0.15121054,Hol_evm.model.scaffold13846.1,Spermine oxidase,Dcor_evm.model.hic_scaffold_9_pilon.341,0.15121054
5057,3427.610947,-1.4721137,0.639707956,-2.301227748,0.021378761,0.151277243,Hol_evm.model.scaffold07256.2,Inosine-5'-monophosphate dehydrogenase,Dcor_evm.model.hic_scaffold_8_pilon.87,0.151277243
10103,33.91640776,2.860715417,1.243372667,2.300770712,0.021404595,0.151364904,Hol_evm.model.scaffold16114.6,repA1,NA,0.151364904
6386,460.2248908,-1.742556979,0.757471983,-2.30049034,0.021420456,0.151381979,Hol_evm.model.scaffold09304.35,PREDICTED: uncharacterized protein LOC108559825,Dcor_evm.model.hic_scaffold_7_pilon.1431,0.151381979
10192,9275.042367,-1.390166158,0.604465283,-2.299827959,0.021457969,0.151551953,Hol_evm.model.scaffold16387.3,Purine nucleoside phosphorylase,Dcor_evm.model.hic_scaffold_6_pilon.1083,0.151551953
7629,117.275221,1.851459034,0.805540011,2.29840729,0.021538619,0.151930935,Hol_evm.model.scaffold11572.6,NA,NA,0.151930935
7678,1466.932784,-1.539440629,0.669782004,-2.298420412,0.021537873,0.151930935,Hol_evm.model.scaffold11610.1,NA,NA,0.151930935
1410,121.5509673,-2.121380853,0.923154636,-2.297969128,0.021563546,0.151994808,Hol_evm.model.scaffold01782.1,"Protein tramtrack, beta isoform",Dcor_evm.model.hic_scaffold_1_pilon.927,0.151994808
2353,8840.582938,-2.073379212,0.902342676,-2.297773635,0.021574676,0.151994808,Hol_evm.model.scaffold03204.3,Senecionine N-oxygenase,Dcor_evm.model.hic_scaffold_14_pilon.48,0.151994808
7866,164.3915269,2.692232257,1.172184136,2.296765648,0.021632142,0.152304351,Hol_evm.model.scaffold11879.2,-,NA,0.152304351
4412,805.0488632,1.441944249,0.628006723,2.296064989,0.021672166,0.152490776,Hol_evm.model.scaffold05992.15,EF-hand domain-containing protein D2 homolog,Dcor_evm.model.hic_scaffold_1_pilon.704,0.152490776
11217,24.04190649,2.370177238,1.033265591,2.293870288,0.021797951,0.153280029,Hol_evm.model.scaffold18482.1,uncharacterized protein LOC111420345,Dcor_evm.model.scaffold4420_size1206.1,0.153280029
6204,277.8809808,-1.62161098,0.707088741,-2.29336275,0.021827129,0.153389402,Hol_evm.model.scaffold08984.8,zinc finger protein 773-like isoform X2,Dcor_evm.model.hic_scaffold_1_pilon.615,0.153389402
7205,7893.915433,-1.304945282,0.569330775,-2.292068758,0.021901676,0.153817259,Hol_evm.model.scaffold11012.6,Adenosylhomocysteinase,Dcor_evm.model.hic_scaffold_7_pilon.1226,0.153817259
9627,3829.702966,-1.992261845,0.869333128,-2.291712786,0.021922222,0.153865571,Hol_evm.model.scaffold15240.10,Beta-lactamase-like protein 2 homolog,Dcor_evm.model.hic_scaffold_7_pilon.1585,0.153865571
906,5472.79718,-1.304605547,0.569575506,-2.290487448,0.021993075,0.154090807,Hol_evm.model.scaffold01166.9,Serine protease inhibitor 27A,Dcor_evm.model.hic_scaffold_8_pilon.659,0.154090807
3560,58.17655321,-1.69740144,0.741078439,-2.290447744,0.021995375,0.154090807,Hol_evm.model.scaffold04813.16,NA,NA,0.154090807
5292,1094.74419,1.243351525,0.542825514,2.290517841,0.021991316,0.154090807,Hol_evm.model.scaffold07655.2,Translocator protein,Dcor_evm.model.hic_scaffold_3_pilon.474,0.154090807
4066,1711.653415,-1.338669941,0.584569776,-2.290008817,0.022020806,0.154173028,Hol_evm.model.scaffold05510.4,Actin-binding Rho-activating protein,Dcor_evm.model.hic_scaffold_9_pilon.8,0.154173028
10805,25.30016559,2.254696202,0.984762633,2.289583426,0.022045477,0.15424983,Hol_evm.model.scaffold17743.1,-,NA,0.15424983
3021,315.1938597,1.411786776,0.617082468,2.287841331,0.022146763,0.154862271,Hol_evm.model.scaffold04082.1,Structural maintenance of chromosomes protein 4,Dcor_evm.model.hic_scaffold_6_pilon.1667,0.154862271
3243,22.49398589,2.954011387,1.291575234,2.287138456,0.022187743,0.15505252,Hol_evm.model.scaffold04345.1,alr,NA,0.15505252
9451,1134.279159,1.654953333,0.724265277,2.285009905,0.022312247,0.155825854,Hol_evm.model.scaffold15043.1,Queuosine salvage protein,Dcor_evm.model.hic_scaffold_7_pilon.1116,0.155825854
1799,280.1106569,1.603711725,0.701987368,2.284530745,0.022340358,0.155828841,Hol_evm.model.scaffold02347.10,Vesicle transport through interaction with t-SNAREs homolog 1B,Dcor_evm.model.hic_scaffold_9_pilon.1581,0.155828841
2215,178.7053122,1.377513108,0.602964041,2.284569253,0.022338098,0.155828841,Hol_evm.model.scaffold02988.3,tRNA (cytosine(38)-C(5))-methyltransferase ,Dcor_evm.model.hic_scaffold_1_pilon.132,0.155828841
3399,173.0991345,-1.473792435,0.645300476,-2.283885553,0.022378258,0.15599655,Hol_evm.model.scaffold04583.4,NA,NA,0.15599655
1293,106.4733765,1.844995472,0.808273238,2.282638328,0.022451681,0.156411527,Hol_evm.model.scaffold01640.5,DNA polymerase theta,Dcor_evm.model.hic_scaffold_4_pilon.288,0.156411527
8321,3392.392552,-1.25418246,0.549542265,-2.282231122,0.022475699,0.156482013,Hol_evm.model.scaffold12581.52,Dihydropyrimidinase,Dcor_evm.model.hic_scaffold_8_pilon.179,0.156482013
98,737.7751731,-1.579808676,0.69278979,-2.28035791,0.02258647,0.157156043,Hol_evm.model.scaffold00085.1,Transmembrane protein 35A,Dcor_evm.model.hic_scaffold_25_pilon.47,0.157156043
8685,66.88518327,-2.121464077,0.930693245,-2.279445013,0.022640625,0.157435551,Hol_evm.model.scaffold13459.1,Intraflagellar transport protein 46 homolog,Dcor_evm.model.hic_scaffold_10_pilon.1047,0.157435551
10089,1634.36922,-1.253417253,0.550105488,-2.27850345,0.022696599,0.157727354,Hol_evm.model.scaffold16084.2,PREDICTED: calcium-independent phospholipase A2-gamma-like isoform X1,Dcor_evm.model.hic_scaffold_9_pilon.312,0.157727354
313,217.007537,1.252492145,0.550021574,2.277169122,0.022776128,0.158073065,Hol_evm.model.scaffold00327.3,dTTP/UTP pyrophosphatase,Dcor_evm.model.hic_scaffold_7_pilon.286,0.158073065
2904,546.4549022,2.716432517,1.193007174,2.276962434,0.022788469,0.158073065,Hol_evm.model.scaffold03917.4,NA,NA,0.158073065
4947,490.9442235,-1.522314231,0.668482579,-2.277268368,0.022770205,0.158073065,Hol_evm.model.scaffold06989.4,NA,NA,0.158073065
9266,48.46643722,-2.253182695,0.989761735,-2.276490003,0.022816698,0.158171422,Hol_evm.model.scaffold14622.11,Patj homolog,Dcor_evm.model.hic_scaffold_9_pilon.1022,0.158171422
1332,1145.978297,-1.413188113,0.62107947,-2.275374055,0.0228835,0.158323793,Hol_evm.model.scaffold01683.1,PREDICTED: hemicentin-1,Dcor_evm.model.hic_scaffold_4_pilon.98,0.158323793
3720,22.80703274,-2.555696381,1.123323722,-2.275120102,0.022898726,0.158323793,Hol_evm.model.scaffold05059.1,-,NA,0.158323793
5984,15.23110349,2.867628807,1.260524483,2.274948917,0.022908994,0.158323793,Hol_evm.model.scaffold08625.26,NA,NA,0.158323793
10868,20.44638017,-2.611721752,1.147915215,-2.275186981,0.022894716,0.158323793,Hol_evm.model.scaffold17859.1,SCRB3,NA,0.158323793
11231,39.39801913,3.168436002,1.392186699,2.275870042,0.022853789,0.158323793,Hol_evm.model.scaffold18535.1,PREDICTED: leucine-rich repeat-containing protein 4-like,Dcor_evm.model.hic_scaffold_2_pilon.125,0.158323793
1833,249.975038,1.845590905,0.811532061,2.274205781,0.022953617,0.158381121,Hol_evm.model.scaffold02416.6,Fatty acid synthase,Dcor_evm.model.hic_scaffold_7_pilon.452,0.158381121
2627,319.5832814,2.710121792,1.191729595,2.274107989,0.022959494,0.158381121,Hol_evm.model.scaffold03522.12,NA,NA,0.158381121
11056,6258.736051,-1.820269426,0.800313273,-2.274446128,0.022939177,0.158381121,Hol_evm.model.scaffold18127.5,Deoxyribose-phosphate aldolase ,Dcor_evm.model.hic_scaffold_41_pilon.1,0.158381121
11065,10787.50728,-1.422138111,0.625440424,-2.273818667,0.022976891,0.158404069,Hol_evm.model.scaffold18127.14,Glyceraldehyde-3-phosphate dehydrogenase 1,Dcor_evm.model.hic_scaffold_1_pilon.440,0.158404069
2916,666.5138455,-1.53747008,0.676492775,-2.272707317,0.023043823,0.158671171,Hol_evm.model.scaffold03926.2,-,NA,0.158671171
3151,591.1654587,2.625013818,1.154924631,2.272887552,0.023032957,0.158671171,Hol_evm.model.scaffold04229.6,PREDICTED: uncharacterized protein LOC659949 isoform X1,Dcor_evm.model.hic_scaffold_6_pilon.544,0.158671171
11290,23.26618469,2.540583054,1.118307928,2.271809929,0.023097993,0.158946946,Hol_evm.model.scaffold18639.1,NA,NA,0.158946946
9536,339.6989565,1.374438514,0.60522553,2.270952638,0.023149845,0.159206449,Hol_evm.model.scaffold15156.8,PREDICTED: serine/arginine repetitive matrix protein 1 isoform X3,Dcor_evm.model.hic_scaffold_4_pilon.933,0.159206449
1503,1128.52269,1.281321802,0.564405647,2.270214355,0.02319458,0.159319455,Hol_evm.model.scaffold01907.6,Mitochondrial pyruvate carrier 1,Dcor_evm.model.hic_scaffold_10_pilon.91,0.159319455
8591,16.59324609,-2.751388509,1.211894996,-2.270319227,0.023188221,0.159319455,Hol_evm.model.scaffold13170.8,NA,NA,0.159319455
8410,139.3186672,2.855131152,1.257855643,2.269840079,0.023217288,0.159378187,Hol_evm.model.scaffold12751.6,Kinesin-like protein KIF23,Dcor_evm.model.hic_scaffold_7_pilon.843,0.159378187
2430,5084.444293,-1.493471713,0.658073526,-2.269460257,0.023240351,0.159439291,Hol_evm.model.scaffold03309.12,Trifunctional purine biosynthetic protein adenosine-3,Dcor_evm.model.hic_scaffold_1_pilon.991,0.159439291
269,24.82409809,-2.779975824,1.225279482,-2.268850384,0.023277426,0.159509438,Hol_evm.model.scaffold00268.1,NA,NA,0.159509438
5142,11162.32426,-1.55194709,0.68403092,-2.268825932,0.023278913,0.159509438,Hol_evm.model.scaffold07428.1,PREDICTED: uncharacterized protein LOC108558413 isoform X1,Dcor_evm.model.hic_scaffold_5_pilon.549,0.159509438
11452,385.8598724,1.271865085,0.560791435,2.267982367,0.023330281,0.159764178,Hol_evm.model.scaffold18942.16,hypothetical protein,Dcor_evm.model.hic_scaffold_8_pilon.32,0.159764178
4230,31.18836514,-2.451526545,1.08241015,-2.26487764,0.023520189,0.160966742,Hol_evm.model.scaffold05717.9,NA,NA,0.160966742
