Dcor_gene_id	Dcor_v3_gene_id	Alus_gene_id	Liom_gene_id	Gene_group_dcor	Cell_type_dcor	Gene_group_alus	Cell_type_alus	Gene_group_liom	Cell_type_ltx	Orthogroup	GEP	Annotation
Dcor_evm.model.ctg10_len_3669713.127	Dcor_evm.model.hic_scaffold_9_pilon.1367	Alus_evm.model.scaffold11517.4	Liom_evm.model.scaffold00450.1	NA	S	NA	S	NA	BQ	OG0007370	NA	PREDICTED: uncharacterized protein LOC108568569 (juvenile hormone-inducible protein 26)
Dcor_evm.model.ctg12_len_6330523.433	Dcor_evm.model.hic_scaffold_10_pilon.1379	Alus_evm.model.scaffold14835.4	Liom_evm.model.scaffold39442.3	NA	S	NA	S	NA	S	OG0000128	"GEP9, GEP17"	Protein takeout
Dcor_evm.model.ctg10_len_3669713.239	Dcor_evm.model.hic_scaffold_9_pilon.1485	Alus_evm.model.scaffold00064.2	Liom_evm.model.scaffold24640.1	NA	S	NA	S	NA	S	OG0001260	GEP17	Segmentation polarity homeobox protein engrailed
Dcor_evm.model.ctg13_len_2339851.7	Dcor_evm.model.hic_scaffold_8_pilon.895	Alus_evm.model.scaffold01927.4	Liom_evm.model.scaffold25270.2	NA	S	NA	S	NA	NA	OG0009662	NA	Ubiquitin-like-conjugating enzyme ATG10
Dcor_evm.model.ctg9_len_3119689.251	Dcor_evm.model.hic_scaffold_8_pilon.143	Alus_evm.model.scaffold03840.8	Liom_evm.model.scaffold29765.1	NA	NA	NA	NA	TG-bgm	S	OG0002334	GEP9	Very long-chain-fatty-acid--CoA ligase bubblegum
Dcor_evm.model.ctg9_len_3119689.251	Dcor_evm.model.hic_scaffold_8_pilon.143	Alus_evm.model.scaffold03840.8	Liom_evm.model.scaffold14691.1	NA	NA	NA	NA	TG-bgm	S	OG0002334	GEP9	Very long-chain-fatty-acid--CoA ligase bubblegum
Dcor_evm.model.ctg9_len_3119689.251	Dcor_evm.model.hic_scaffold_8_pilon.143	Alus_evm.model.scaffold03840.8	Liom_evm.model.scaffold49668.1	TG-bgm	S	TG-bgm	S	TG-bgm	S	OG0002334	GEP9	Very long-chain-fatty-acid--CoA ligase bubblegum
Dcor_evm.model.scaffold5_size806535.193	Dcor_evm.model.hic_scaffold_1_pilon.920	Alus_evm.model.scaffold08091.14	Liom_evm.model.scaffold10401.1	NA	NA	TG-FALDH	S	NA	NA	OG0000239	NA	Aldehyde dehydrogenase family 3 member B2
Dcor_evm.model.scaffold36_size190523.36	Dcor_evm.model.hic_scaffold_2_pilon.636	Alus_evm.model.scaffold16403.9	NA	NA	NA	TG-FAR4	S	NA	NA	OG0000045	GEP9	Fatty acyl-CoA reductase wat
Dcor_evm.model.scaffold36_size190523.27	Dcor_evm.model.hic_scaffold_2_pilon.627	Alus_evm.model.scaffold14580.16	Liom_evm.model.scaffold52108.1	NA	NA	TG-FAR8	S	NA	NA	OG0000045	NA	Fatty acyl-CoA reductase wat
Dcor_evm.model.scaffold137_size1808848.144	Dcor_evm.model.hic_scaffold_5_pilon.1454	Alus_evm.model.scaffold05504.2	Liom_evm.model.scaffold02141.1	TG-CYP4G	S	TG-CYP4G	S	NA	NA	OG0001112	"GEP9, GEP17"	Cytochrome P450 4g1
Dcor_evm.model.ctg10_len_3669713.509	Dcor_evm.model.hic_scaffold_9_pilon.1753	NA	NA	TG-Est1a	S	NA	NA	NA	NA	OG0000032	GEP9	Esterase B1
Dcor_evm.model.ctg10_len_3669713.510	Dcor_evm.model.hic_scaffold_9_pilon.1755	Alus_evm.model.scaffold02504.4	Liom_evm.model.scaffold00979.4	TG-Est1b	S	NA	BQ	NA	NA	OG0000032	GEP9	Esterase B1
Dcor_evm.model.ctg3_len_6069552.181	Dcor_evm.model.hic_scaffold_3_pilon.176	NA	NA	TG-FAR1c	S	NA	NA	NA	NA	OG0000800	"GEP9, GEP17"	Fatty acyl-CoA reductase 1
Dcor_evm.model.scaffold36_size190523.34	Dcor_evm.model.hic_scaffold_2_pilon.634	Alus_evm.model.scaffold16403.8	Liom_evm.model.scaffold38089.2	TG-FAR2	S	TG-FAR2	S	NA	NA	OG0000045	GEP9	Putative fatty acyl-CoA reductase CG5065
038fa139-76ae-4f09-851d-5723fe7bb411	Dcor_evm.model.hic_scaffold_2_pilon.637	Alus_evm.model.scaffold16403.12	Liom_evm.model.scaffold39589.1	FAR3a	S	NA	NA	FAR3a	S	OG0000045	NA	Fatty acyl-CoA reductase wat
Dcor_evm.model.ctg3_len_6069552.180	Dcor_evm.model.hic_scaffold_3_pilon.175	Alus_evm.model.scaffold04595.5	Liom_evm.model.scaffold11702.1	NA	S	NA	NA	NA	NA	OG0000800	NA	Fatty acyl-CoA reductase 1
Dcor_evm.model.ctg3_len_6069552.180	Dcor_evm.model.hic_scaffold_3_pilon.175	Alus_evm.model.scaffold04595.5	Liom_evm.model.scaffold47492.2	TG-FAR1a	S	NA	NA	NA	NA	OG0000800	NA	Fatty acyl-CoA reductase 1
Dcor_evm.model.ctg12_len_6330523.1221	Dcor_evm.model.hic_scaffold_10_pilon.596	Alus_evm.model.scaffold10131.2	Liom_evm.model.scaffold11759.2	TG-SCD	S	TG-SCD	S	NA	NA	OG0000018	"GEP9, GEP17"	Acyl-CoA Delta(11) desaturase
NA	Dcor_evm.model.hic_scaffold_9_pilon.1242	NA	Liom_evm.model.scaffold28342.1	NA	NA	NA	NA	IDI	terpene	OG0006178	NA	Isopentenyl-diphosphate Delta-isomerase 1
NA	NA	NA	Liom_evm.model.scaffold54586.1	NA	NA	NA	NA	FPPS	terpene	OG0000745	NA	Farnesyl pyrophosphate synthase
NA	Dcor_evm.model.hic_scaffold_8_pilon.309	Alus_evm.model.scaffold17741.4	Liom_evm.model.scaffold03148.4	NA	NA	NA	NA	HMGCR	terpene	OG0002511	NA	3-hydroxy-3-methylglutaryl-coenzyme A reductase
NA	Dcor_evm.model.hic_scaffold_10_pilon.1103	Alus_evm.model.scaffold13108.5	Liom_evm.model.scaffold44876.4	NA	NA	NA	NA	PMVK	terpene	OG0009190	NA	Probable phosphomevalonate kinase
NA	Dcor_evm.model.hic_scaffold_4_pilon.1200	Alus_evm.model.scaffold14371.1	Liom_evm.model.scaffold12652.2	NA	NA	NA	NA	FNTA	terpene	OG0006702	NA	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha 
NA	Dcor_evm.model.hic_scaffold_10_pilon.56	Alus_evm.model.scaffold02041.24	Liom_evm.model.scaffold11161.1	NA	NA	NA	NA	GGPS1_1	terpene	OG0000690	NA	Geranylgeranyl pyrophosphate synthase
NA	Dcor_evm.model.hic_scaffold_10_pilon.56	Alus_evm.model.scaffold02041.24	Liom_evm.model.scaffold20371.1	NA	NA	NA	NA	GGPS1_2	terpene	OG0000690	NA	Geranylgeranyl pyrophosphate synthase
NA	Dcor_evm.model.hic_scaffold_7_pilon.171	Alus_evm.model.scaffold06691.3	Liom_evm.model.scaffold24946.1	NA	NA	NA	NA	PDSS2	terpene	OG0000529	NA	Decaprenyl-diphosphate synthase subunit 2
NA	Dcor_hic_scaffold_5_3847820-3849501	Alus_evm.model.scaffold17108.12	Liom_evm.model.scaffold21799.1	NA	NA	NA	NA	SCD5_1	BQ	OG0000018	NA	stearoyl-CoA desaturase 5
NA	Dcor_hic_scaffold_5_3847820-3849501	Alus_evm.model.scaffold17108.12	Liom_evm.model.scaffold32731.1	NA	NA	NA	NA	SCD5_2	BQ	OG0000018	NA	stearoyl-CoA desaturase 5
NA	NA	NA	Liom_evm.model.scaffold57730.1	NA	NA	NA	NA	SCD	BQ	OG0000018	NA	Acyl-CoA Delta(11) desaturase
NA	Dcor_evm.model.hic_scaffold_1_pilon.6	Alus_evm.model.scaffold15003.7	Liom_evm.model.scaffold48231.2	NA	NA	NA	NA	CES1	S	OG0000104	NA	Carboxylesterase 4A
NA	Dcor_evm.model.hic_scaffold_3_pilon.592	NA	Liom_evm.model.scaffold15746.1	ACBP	S	NA	NA	ACBP	S	OG0001025	NA	Acyl-CoA-binding protein homolog
NA	Dcor_evm.model.hic_scaffold_7_pilon.938	Alus_evm.model.scaffold07046.23	Liom_evm.model.scaffold45890.1	NA	NA	NA	NA	CES2	G	OG0000542	NA	type-B carboxylesterase
NA	Dcor_evm.model.hic_scaffold_7_pilon.938	Alus_evm.model.scaffold07046.23	Liom_evm.model.scaffold12823.1	NA	NA	NA	NA	CES3	S	OG0000542	NA	type-B carboxylesterase
NA	Dcor_evm.model.hic_scaffold_2_pilon.347	Alus_evm.model.scaffold15216.4	Liom_evm.model.scaffold54444.1	ATP7	BQ	ATP7	BQ	ATP7	BQ	OG0003140	NA	Copper-transporting ATPase 1
NA	Dcor_evm.model.hic_scaffold_5_pilon.493	Alus_evm.model.scaffold04779.7	Liom_evm.model.scaffold54975.1	ELOVL	S	NA	NA	ELOVL	G	OG0000083	GEP17	elongation of very long chain fatty acids protein 1
NA	NA	NA	Liom_evm.model.scaffold48049.1	NA	NA	NA	NA	ELOVL	S	OG0000083	NA	elongation of very long chain fatty acids protein 1
NA	NA	NA	Liom_evm.model.scaffold58699.1	NA	NA	NA	NA	ELOVL	S	OG0000083	NA	elongation of very long chain fatty acids protein 1
NA	Dcor_evm.model.hic_scaffold_3_pilon.693	Alus_evm.model.scaffold11468.1	Liom_evm.model.scaffold16400.2	NA	NA	NA	NA	ELOVL	BQ	OG0000083	GEP9	elongation of very long chain fatty acids protein 1
NA	Dcor_evm.model.hic_scaffold_3_pilon.692	Alus_evm.model.scaffold00905.1	NA	ELOVL	S	NA	NA	NA	NA	OG0000083	GEP17	elongation of very long chain fatty acids protein 1
NA	Dcor_evm.model.hic_scaffold_25_pilon.20	NA	Liom_evm.model.scaffold43595.1	NA	NA	NA	NA	ELOVL	BQ	OG0000083	NA	elongation of very long chain fatty acids protein 1
NA	Dcor_evm.model.hic_scaffold_3_pilon.694	Alus_evm.model.scaffold00886.2	Liom_evm.model.scaffold39332.1	ELOVL	S	ELOVL	S	ELOVL	G	OG0000083	NA	elongation of very long chain fatty acids protein 1
NA	Dcor_evm.model.hic_scaffold_8_pilon.226	Alus_evm.model.scaffold06030.5	Liom_evm.model.scaffold36987.3	NA	NA	NA	NA	HSD17B12	S	OG0000880	NA	very-long-chain 3-oxoacyl-CoA reductase
NA	NA	NA	Liom_evm.model.scaffold45169.4	NA	NA	NA	NA	HSD17B12	S	OG0000880	NA	very-long-chain 3-oxoacyl-CoA reductase
NA	NA	NA	Liom_evm.model.scaffold20171.1	NA	NA	NA	NA	HACD3	S	OG0006211	NA	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase hpo-8
NA	Dcor_evm.model.hic_scaffold_10_pilon.361	Alus_evm.model.scaffold05154.5	Liom_evm.model.scaffold19616.1	NA	NA	HACD3	S	NA	NA	OG0006211	NA	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase hpo-8
NA	Dcor_evm.model.hic_scaffold_8_pilon.67	Alus_evm.model.scaffold09175.7	Liom_evm.model.scaffold54986.2	NA	NA	NA	NA	TECR	BQ	OG0005288	NA	Probable very-long-chain enoyl-CoA reductase art-1
